marker_a,marker_b,colocalization_score,jaccard_index,co_occurrence_spots,co_occurrence_fraction,pearson_r,spearman_rho,correlation_pvalue,neighbor_enrichment_ab,neighbor_enrichment_ba,neighbor_enrichment_pvalue,mutual_neighbor_enrichment
CD45RA,PTEN,0.5000029868494569,0.02144808743169399,628,0.006091587207666864,-0.04405351528376105,-0.059500413112330126,1.829600499664253e-45,0.8487190312292363,0.8933654808920188,1.0,0.8710422560606276
GranzymeB,Vimentin,0.49959210478590277,0.007220080139109398,191,0.0018526961093381705,-0.0016870866966095987,-0.005555789999878893,0.5880353328970769,0.9952323905366706,0.9867035077572488,0.64,0.9909679491469596
CD138,PanCK,0.499347723030059,0.0019502681618722574,16,0.00015519967408068443,0.012294232315681736,-0.014781755527984239,7.895649853585479e-05,0.17639958309115597,0.22640261451857024,1.0,0.20140109880486312
CD68,CD31,0.4991867772999948,0.12814193089972467,5771,0.05597858244497687,-0.11500176513042525,-0.012222931940284273,8.685590621123501e-05,1.031440050571863,0.9946945793925803,0.92,1.0130673149822216
Ki-67,CD45RA,0.4988356834125105,0.02446438911407064,338,0.0032785931149544585,-0.002033330829923415,-0.012571289631700192,0.5138487124687124,0.8959052674871788,0.8629997546773547,1.0,0.8794525110822667
CD20,PD-1,0.49876894034835273,0.006674536868870323,147,0.0014258970056162882,-0.005453929946088215,-0.007984339177607783,0.07992093691425609,1.0426313616486549,1.0356390499833508,0.12,1.0391352058160028
CD20,Vimentin,0.4987680550844563,0.005031589301252222,133,0.0012900972907956894,-0.013234734690516914,-0.009522261854951732,0.0022322927423682843,0.7615053131160223,0.7846983683378302,1.0,0.7731018407269263
PanCK,CD20,0.4983437723917169,0.0005959475566150178,5,4.849989815021389e-05,0.014792988253314753,-0.023116210229064082,2.0346740142077917e-06,0.12820439481178417,0.08875688871585057,1.0,0.10848064176381736
CD20,PTEN,0.4983145214483792,0.0034546904065904864,91,0.0008826981463338927,-0.01863193864675972,-0.0285487340518201,2.193232569776363e-09,0.6774140689967709,0.73796685623501,1.0,0.7076904626158904
CD20,LAG-3,0.49804129859585117,0.005660377358490566,147,0.0014258970056162882,0.0007316218772355082,-0.013758776836490025,0.8142808718492519,0.8878049565427665,0.9084592077474172,1.0,0.8981320821450918
CD138,LAG-3,0.4978824519590448,0.004763933537317479,123,0.0011930974944952615,0.0003758736914952833,-0.011228750543047181,0.9039409866242646,0.763820296806679,0.7613268681990403,1.0,0.7625735825028597
CD16,CD20,0.4978673008676333,0.0034991632435721893,92,0.0008923981259639354,-0.0024177931308698676,-0.03973811570942034,0.43757238914964036,0.4694356134190886,0.45451229744308436,1.0,0.4619739554310865
Ki-67,CD45RO,0.49767523088492616,0.06092277863612954,2011,0.019506659036016026,-0.010873835657084656,-0.045817839864855534,0.00048041939471593696,0.9493020845347561,0.9349691256624802,1.0,0.9421356050986182
GranzymeB,alphaSMA,0.4976627926270903,0.006353094263079337,166,0.001610196618587101,-0.004307079250222853,-0.008230321328559201,0.16669218740488076,0.8744857766242589,0.8378128306560407,1.0,0.8561493036401497
CD138,PTEN,0.49658331505616066,0.003823068394693581,100,0.0009699979630042777,-0.019127097862214747,-0.03615949302813611,8.157367725553364e-10,0.7679679603996457,0.783565385570777,1.0,0.7757666729852113
